ts_event,price
2024-10-21 12:55:15.334545441+00:00,233.85
2024-10-21 12:55:15.338653449+00:00,233.85
2024-10-21 12:55:15.998123326+00:00,233.74
2024-10-21 12:55:15.998136786+00:00,233.73
2024-10-21 12:55:16.052529509+00:00,233.95
2024-10-21 12:55:17.765334567+00:00,233.73
2024-10-21 12:55:17.765347989+00:00,233.7
2024-10-21 12:55:20.823373698+00:00,233.77
2024-10-21 12:55:22.580537870+00:00,233.94
2024-10-21 12:55:23.609032313+00:00,233.77
2024-10-21 12:55:23.609045176+00:00,233.75
2024-10-21 12:55:23.680662027+00:00,233.93
2024-10-21 12:55:23.701596845+00:00,233.93
2024-10-21 12:55:23.701735603+00:00,233.93
2024-10-21 12:55:23.701747931+00:00,233.99
2024-10-21 12:55:24.862826730+00:00,233.76
2024-10-21 12:55:26.706482748+00:00,233.99
2024-10-21 12:55:37.151044095+00:00,233.99
2024-10-21 12:55:37.151054693+00:00,233.99
2024-10-21 12:55:37.151066136+00:00,234.0
2024-10-21 12:55:42.999639664+00:00,233.76
2024-10-21 12:55:42.999652165+00:00,233.75
2024-10-21 12:55:42.999664407+00:00,234.0
2024-10-21 12:55:43.053918430+00:00,234.0
2024-10-21 12:55:43.053930632+00:00,233.99
2024-10-21 12:55:44.065840207+00:00,233.76
2024-10-21 12:55:44.298847396+00:00,233.76
2024-10-21 12:55:44.298860589+00:00,233.75
2024-10-21 12:55:49.600508142+00:00,233.92
2024-10-21 12:55:49.600561018+00:00,233.93
2024-10-21 12:55:49.602960660+00:00,233.98
2024-10-21 12:55:51.620426502+00:00,233.92
2024-10-21 12:56:02.093908434+00:00,233.99
2024-10-21 12:56:03.269632443+00:00,233.99
2024-10-21 12:56:03.269646561+00:00,233.96
2024-10-21 12:56:07.124679898+00:00,233.76
2024-10-21 12:56:08.881388845+00:00,233.96
2024-10-21 12:56:08.881400360+00:00,233.98
2024-10-21 12:56:09.292369731+00:00,233.77
2024-10-21 12:56:22.318827078+00:00,233.92
2024-10-21 12:56:22.318827078+00:00,233.92
2024-10-21 12:56:22.318827078+00:00,233.92
2024-10-21 12:56:22.318852373+00:00,233.86
2024-10-21 12:56:22.318854497+00:00,233.86
2024-10-21 12:56:22.318867022+00:00,233.83
2024-10-21 12:56:22.318873215+00:00,233.98
2024-10-21 12:56:22.318879396+00:00,233.86
2024-10-21 12:56:22.318888491+00:00,233.83
2024-10-21 12:56:22.318892579+00:00,233.82
2024-10-21 12:56:22.418935993+00:00,233.86
2024-10-21 12:56:22.418961652+00:00,233.82
2024-10-21 12:56:22.418999332+00:00,233.97
2024-10-21 12:56:22.573764377+00:00,233.86
2024-10-21 12:56:28.426425567+00:00,233.77
2024-10-21 12:56:28.426438060+00:00,233.75
2024-10-21 12:56:29.082300571+00:00,233.76
2024-10-21 12:56:43.345471121+00:00,233.93
2024-10-21 12:56:43.345495320+00:00,233.76
2024-10-21 12:56:43.349563754+00:00,233.93
2024-10-21 12:56:43.451978758+00:00,233.76
2024-10-21 12:56:49.157872964+00:00,233.93
2024-10-21 12:56:49.157900740+00:00,233.91
2024-10-21 12:56:49.161966909+00:00,233.93
2024-10-21 12:56:49.162006671+00:00,233.91
2024-10-21 12:56:49.229676652+00:00,233.76
2024-10-21 12:56:49.229690482+00:00,233.71
2024-10-21 12:56:52.237667266+00:00,233.71
2024-10-21 12:56:53.459845124+00:00,233.71
2024-10-21 12:56:54.514621370+00:00,233.71
2024-10-21 12:56:54.514633369+00:00,233.72
2024-10-21 12:56:55.487592894+00:00,233.92
2024-10-21 12:56:55.488162035+00:00,233.88
2024-10-21 12:56:55.488202584+00:00,233.9
2024-10-21 12:56:55.489128406+00:00,233.9
2024-10-21 12:56:55.491687427+00:00,233.92
2024-10-21 12:56:55.492269126+00:00,233.88
2024-10-21 12:56:55.527565335+00:00,233.9
2024-10-21 12:56:56.401563592+00:00,233.72
2024-10-21 12:56:57.109300963+00:00,233.88
2024-10-21 12:56:57.109313303+00:00,233.88
2024-10-21 12:56:57.109331676+00:00,233.72
2024-10-21 12:56:57.211996601+00:00,233.72
2024-10-21 12:57:02.679458939+00:00,233.8
2024-10-21 12:57:07.894276467+00:00,233.6
2024-10-21 12:57:07.914190596+00:00,233.6
2024-10-21 12:57:11.591940037+00:00,233.72
2024-10-21 12:57:11.661884620+00:00,233.72
2024-10-21 12:57:18.749231265+00:00,233.89
2024-10-21 12:57:28.505373884+00:00,233.72
2024-10-21 12:57:28.505387072+00:00,233.69
2024-10-21 12:57:28.732652951+00:00,233.7
2024-10-21 12:57:30.098442544+00:00,233.7
2024-10-21 12:57:30.210776056+00:00,233.69
2024-10-21 12:57:31.558732931+00:00,233.71
2024-10-21 12:57:32.240045543+00:00,233.71
2024-10-21 12:57:34.892506576+00:00,233.71
2024-10-21 12:57:35.231673580+00:00,233.71
2024-10-21 12:57:36.202783941+00:00,233.71
2024-10-21 12:57:36.556498826+00:00,233.86
2024-10-21 12:57:37.356921695+00:00,233.71
2024-10-21 12:57:43.442533026+00:00,233.71
2024-10-21 12:57:43.442545695+00:00,233.76
2024-10-21 12:57:48.025719444+00:00,233.76
2024-10-21 12:57:48.025732688+00:00,233.72
2024-10-21 12:58:02.614676805+00:00,233.89
2024-10-21 12:58:02.926203519+00:00,233.77
2024-10-21 12:58:03.694780418+00:00,233.78
2024-10-21 12:58:04.432418262+00:00,233.87
2024-10-21 12:58:04.559873878+00:00,233.85
2024-10-21 12:58:04.664725575+00:00,233.9
2024-10-21 12:58:07.447014433+00:00,233.9
2024-10-21 12:58:10.664315609+00:00,233.88
2024-10-21 12:58:10.664349579+00:00,233.78
2024-10-21 12:58:10.664468587+00:00,233.87
2024-10-21 12:58:10.664469496+00:00,233.86
2024-10-21 12:58:10.664469496+00:00,233.86
2024-10-21 12:58:10.664494919+00:00,233.85
2024-10-21 12:58:10.664494919+00:00,233.85
2024-10-21 12:58:10.664498353+00:00,233.85
2024-10-21 12:58:10.664498353+00:00,233.85
2024-10-21 12:58:10.664507666+00:00,233.93
2024-10-21 12:58:10.664525419+00:00,233.88
2024-10-21 12:58:10.664537782+00:00,233.88
2024-10-21 12:58:10.664655804+00:00,233.85
2024-10-21 12:58:10.664709483+00:00,233.88
2024-10-21 12:58:10.665088334+00:00,233.84
2024-10-21 12:58:10.665164204+00:00,233.6
2024-10-21 12:58:10.665444096+00:00,233.97
2024-10-21 12:58:10.666096256+00:00,233.85
2024-10-21 12:58:10.666096256+00:00,233.85
2024-10-21 12:58:10.666117777+00:00,233.82
2024-10-21 12:58:10.666119828+00:00,233.82
2024-10-21 12:58:10.666134191+00:00,233.81
2024-10-21 12:58:10.666182330+00:00,233.82
2024-10-21 12:58:10.668387164+00:00,233.87
2024-10-21 12:58:10.668387164+00:00,233.89
2024-10-21 12:58:10.668387164+00:00,233.9
2024-10-21 12:58:10.668387164+00:00,233.9
2024-10-21 12:58:10.668387164+00:00,233.9
2024-10-21 12:58:10.668412244+00:00,233.84
2024-10-21 12:58:10.668421624+00:00,233.83
2024-10-21 12:58:10.668424903+00:00,233.86
2024-10-21 12:58:10.668436484+00:00,233.86
2024-10-21 12:58:10.668486990+00:00,233.84
2024-10-21 12:58:10.668495920+00:00,233.86
2024-10-21 12:58:10.668504902+00:00,233.86
2024-10-21 12:58:10.668524657+00:00,233.82
2024-10-21 12:58:10.668685103+00:00,233.85
2024-10-21 12:58:10.668708138+00:00,233.86
2024-10-21 12:58:10.668768437+00:00,233.87
2024-10-21 12:58:10.668997172+00:00,233.85
2024-10-21 12:58:10.669075250+00:00,233.86
2024-10-21 12:58:10.672875445+00:00,233.87
2024-10-21 12:58:10.766666052+00:00,233.7
2024-10-21 12:58:10.766692893+00:00,233.81
2024-10-21 12:58:10.769583448+00:00,233.83
2024-10-21 12:58:10.779690647+00:00,233.98
2024-10-21 12:58:10.931928238+00:00,233.96
2024-10-21 12:58:10.970212670+00:00,233.4
2024-10-21 12:58:11.735054168+00:00,233.7
2024-10-21 12:58:11.739498889+00:00,233.98
2024-10-21 12:58:11.739510725+00:00,234.01
2024-10-21 12:58:11.741567426+00:00,234.01
2024-10-21 12:58:11.790575104+00:00,233.7
2024-10-21 12:58:11.790587578+00:00,233.72
2024-10-21 12:58:13.632358940+00:00,233.74
2024-10-21 12:58:15.135381045+00:00,234.01
2024-10-21 12:58:15.135391677+00:00,234.01
2024-10-21 12:58:15.135402966+00:00,234.03
2024-10-21 12:58:15.189814409+00:00,233.75
2024-10-21 12:58:15.280737422+00:00,233.75
2024-10-21 12:58:15.315283786+00:00,233.99
2024-10-21 12:58:16.357123535+00:00,233.98
2024-10-21 12:58:20.739070247+00:00,233.75
2024-10-21 12:58:25.681145858+00:00,233.85
2024-10-21 12:58:25.752287218+00:00,233.75
2024-10-21 12:58:38.664122485+00:00,233.96
2024-10-21 12:58:38.865141726+00:00,233.95
2024-10-21 12:58:38.865153436+00:00,233.96
2024-10-21 12:58:38.884268974+00:00,233.75
2024-10-21 12:58:38.934127462+00:00,233.8
2024-10-21 12:58:39.124837053+00:00,233.97
2024-10-21 12:58:39.665440876+00:00,233.99
2024-10-21 12:58:44.315042667+00:00,233.75
2024-10-21 12:58:44.315056213+00:00,233.79
2024-10-21 12:58:53.553367785+00:00,233.79
2024-10-21 12:58:53.553380154+00:00,233.75
2024-10-21 12:58:54.392440802+00:00,233.8
2024-10-21 12:58:54.393294723+00:00,233.78
2024-10-21 12:58:56.608715388+00:00,233.78
2024-10-21 12:58:56.926366487+00:00,233.93
2024-10-21 12:58:56.926409817+00:00,233.94
2024-10-21 12:58:56.930460468+00:00,233.93
2024-10-21 12:58:56.936864426+00:00,233.87
2024-10-21 12:58:56.936864426+00:00,233.86
2024-10-21 12:58:56.985971755+00:00,233.95
2024-10-21 12:58:56.985973938+00:00,233.97
2024-10-21 12:58:57.006192128+00:00,233.78
2024-10-21 12:58:57.006204731+00:00,233.74
2024-10-21 12:58:57.186825862+00:00,233.93
2024-10-21 12:58:57.188827212+00:00,233.99
2024-10-21 12:58:57.245928065+00:00,233.95
2024-10-21 12:58:59.191738848+00:00,233.93
2024-10-21 12:59:00.362666414+00:00,234.06
2024-10-21 12:59:01.222899124+00:00,233.98
2024-10-21 12:59:01.222911311+00:00,234.0
2024-10-21 12:59:01.250393352+00:00,233.75
2024-10-21 12:59:01.302902468+00:00,233.99
2024-10-21 12:59:02.387943682+00:00,233.76
2024-10-21 12:59:02.700990199+00:00,233.85
2024-10-21 12:59:18.925937054+00:00,233.78
2024-10-21 12:59:18.926788826+00:00,233.8
2024-10-21 12:59:29.383886738+00:00,233.95
2024-10-21 12:59:29.584160244+00:00,233.93
2024-10-21 12:59:29.843991689+00:00,233.94
2024-10-21 12:59:34.987099899+00:00,233.76
2024-10-21 12:59:41.219174443+00:00,233.76
2024-10-21 12:59:41.751768006+00:00,233.87
2024-10-21 12:59:41.751808827+00:00,233.99
2024-10-21 12:59:41.752297252+00:00,234.0
2024-10-21 12:59:41.755876256+00:00,233.87
2024-10-21 12:59:58.443981541+00:00,233.99
2024-10-21 13:00:00.834769249+00:00,233.76
2024-10-21 13:00:00.834779433+00:00,233.76
2024-10-21 13:00:00.834789913+00:00,233.75
2024-10-21 13:00:02.522599613+00:00,233.75
2024-10-21 13:00:04.240937700+00:00,233.75
2024-10-21 13:00:05.482580960+00:00,233.98
2024-10-21 13:00:07.149349109+00:00,233.75
2024-10-21 13:00:07.149359620+00:00,233.75
2024-10-21 13:00:07.149370167+00:00,233.73
2024-10-21 13:00:07.381906885+00:00,233.74
2024-10-21 13:00:08.520115733+00:00,233.75
2024-10-21 13:00:12.307331848+00:00,233.75
2024-10-21 13:00:12.307344629+00:00,233.73
2024-10-21 13:00:21.846946300+00:00,233.94
2024-10-21 13:00:22.047186467+00:00,233.92
2024-10-21 13:00:22.047193836+00:00,233.91
2024-10-21 13:00:22.047247171+00:00,233.92
2024-10-21 13:00:22.047528913+00:00,233.93
2024-10-21 13:00:22.049440630+00:00,233.93
2024-10-21 13:00:22.051622729+00:00,233.93
2024-10-21 13:00:22.306998857+00:00,233.93
2024-10-21 13:00:23.028961848+00:00,233.74
2024-10-21 13:00:23.497741295+00:00,233.75
