,ts_event,price
550,2024-10-21 12:40:15+00:00,233.84
551,2024-10-21 12:40:20+00:00,233.71
552,2024-10-21 12:40:25+00:00,233.74
553,2024-10-21 12:40:30+00:00,233.8
554,2024-10-21 12:40:35+00:00,233.79
555,2024-10-21 12:40:40+00:00,233.62
556,2024-10-21 12:40:45+00:00,233.61
557,2024-10-21 12:40:50+00:00,233.62
558,2024-10-21 12:40:55+00:00,233.7
559,2024-10-21 12:41:00+00:00,233.77
560,2024-10-21 12:41:05+00:00,233.89
561,2024-10-21 12:41:10+00:00,
562,2024-10-21 12:41:15+00:00,
563,2024-10-21 12:41:20+00:00,233.88
564,2024-10-21 12:41:25+00:00,
565,2024-10-21 12:41:30+00:00,233.87
566,2024-10-21 12:41:35+00:00,233.59
567,2024-10-21 12:41:40+00:00,233.55
568,2024-10-21 12:41:45+00:00,233.88
569,2024-10-21 12:41:50+00:00,233.87
570,2024-10-21 12:41:55+00:00,
571,2024-10-21 12:42:00+00:00,233.87
572,2024-10-21 12:42:05+00:00,233.64
573,2024-10-21 12:42:10+00:00,233.81
574,2024-10-21 12:42:15+00:00,233.81
575,2024-10-21 12:42:20+00:00,233.76
576,2024-10-21 12:42:25+00:00,233.75
577,2024-10-21 12:42:30+00:00,233.77
578,2024-10-21 12:42:35+00:00,233.93
579,2024-10-21 12:42:40+00:00,233.8
580,2024-10-21 12:42:45+00:00,
581,2024-10-21 12:42:50+00:00,
582,2024-10-21 12:42:55+00:00,
583,2024-10-21 12:43:00+00:00,233.66
584,2024-10-21 12:43:05+00:00,233.87
585,2024-10-21 12:43:10+00:00,233.66
586,2024-10-21 12:43:15+00:00,233.8
587,2024-10-21 12:43:20+00:00,
588,2024-10-21 12:43:25+00:00,233.68
589,2024-10-21 12:43:30+00:00,233.63
590,2024-10-21 12:43:35+00:00,
591,2024-10-21 12:43:40+00:00,
592,2024-10-21 12:43:45+00:00,233.68
593,2024-10-21 12:43:50+00:00,233.76
594,2024-10-21 12:43:55+00:00,233.7
595,2024-10-21 12:44:00+00:00,233.82
596,2024-10-21 12:44:05+00:00,
597,2024-10-21 12:44:10+00:00,233.62
598,2024-10-21 12:44:15+00:00,
599,2024-10-21 12:44:20+00:00,233.78
600,2024-10-21 12:44:25+00:00,233.55
601,2024-10-21 12:44:30+00:00,
602,2024-10-21 12:44:35+00:00,233.76
603,2024-10-21 12:44:40+00:00,233.82
604,2024-10-21 12:44:45+00:00,233.55
605,2024-10-21 12:44:50+00:00,
606,2024-10-21 12:44:55+00:00,233.74
607,2024-10-21 12:45:00+00:00,233.66
608,2024-10-21 12:45:05+00:00,233.89
609,2024-10-21 12:45:10+00:00,233.66
610,2024-10-21 12:45:15+00:00,233.67
611,2024-10-21 12:45:20+00:00,
612,2024-10-21 12:45:25+00:00,
613,2024-10-21 12:45:30+00:00,
614,2024-10-21 12:45:35+00:00,233.91
615,2024-10-21 12:45:40+00:00,233.67
616,2024-10-21 12:45:45+00:00,233.67
617,2024-10-21 12:45:50+00:00,
618,2024-10-21 12:45:55+00:00,
619,2024-10-21 12:46:00+00:00,233.68
620,2024-10-21 12:46:05+00:00,
621,2024-10-21 12:46:10+00:00,233.83
622,2024-10-21 12:46:15+00:00,233.9
623,2024-10-21 12:46:20+00:00,233.68
624,2024-10-21 12:46:25+00:00,233.88
625,2024-10-21 12:46:30+00:00,233.83
626,2024-10-21 12:46:35+00:00,233.91
627,2024-10-21 12:46:40+00:00,233.64
628,2024-10-21 12:46:45+00:00,233.92
629,2024-10-21 12:46:50+00:00,233.4
630,2024-10-21 12:46:55+00:00,
631,2024-10-21 12:47:00+00:00,233.87
632,2024-10-21 12:47:05+00:00,233.61
633,2024-10-21 12:47:10+00:00,233.63
634,2024-10-21 12:47:15+00:00,233.83
635,2024-10-21 12:47:20+00:00,
636,2024-10-21 12:47:25+00:00,233.62
637,2024-10-21 12:47:30+00:00,233.92
638,2024-10-21 12:47:35+00:00,233.4
639,2024-10-21 12:47:40+00:00,233.67
640,2024-10-21 12:47:45+00:00,
641,2024-10-21 12:47:50+00:00,
642,2024-10-21 12:47:55+00:00,
643,2024-10-21 12:48:00+00:00,
644,2024-10-21 12:48:05+00:00,233.62
