ts_event,best_level_ofi
2024-10-21 12:12:43.731132036,-288.0
2024-10-21 12:12:43.731655758,288.0
2024-10-21 12:12:43.731785539,-288.0
2024-10-21 12:12:46.780372537,0.0
2024-10-21 12:12:47.484476304,288.0
2024-10-21 12:12:47.484693420,120.0
2024-10-21 12:12:47.485023375,134.0
2024-10-21 12:12:47.604468075,-288.0
2024-10-21 12:12:47.736191420,0.0
2024-10-21 12:12:48.104146428,708.0
2024-10-21 12:12:48.104167967,900.0
2024-10-21 12:12:48.104178898,229.0
2024-10-21 12:12:48.104181225,-242.0
2024-10-21 12:12:48.104185923,242.0
2024-10-21 12:12:48.104190565,72.0
2024-10-21 12:12:48.104196514,-16.0
2024-10-21 12:12:48.104209602,0.0
2024-10-21 12:12:48.104217612,2.0
2024-10-21 12:12:48.176175311,-2.0
2024-10-21 12:12:48.176204532,87.0
2024-10-21 12:12:48.176852661,1200.0
2024-10-21 12:12:48.179929431,2340.0
2024-10-21 12:12:48.179967058,-2340.0
2024-10-21 12:12:48.204254179,-14.0
2024-10-21 12:12:48.204281167,0.0
2024-10-21 12:12:48.213961498,2368.0
2024-10-21 12:12:48.232970230,-2368.0
2024-10-21 12:12:48.232983049,2368.0
2024-10-21 12:12:48.247336117,-2368.0
2024-10-21 12:12:48.247348435,2368.0
2024-10-21 12:12:48.306851049,400.0
2024-10-21 12:12:48.347879918,-768.0
2024-10-21 12:12:48.347893041,768.0
2024-10-21 12:12:48.363762750,-646.0
2024-10-21 12:12:49.107274312,1200.0
2024-10-21 12:12:49.117556478,-108.0
2024-10-21 12:12:49.170094147,0.0
2024-10-21 12:12:49.179568062,200.0
2024-10-21 12:12:50.108656247,-292.0
2024-10-21 12:12:50.108666090,1200.0
2024-10-21 12:12:50.212175433,92.0
2024-10-21 12:12:50.565304171,-492.0
2024-10-21 12:12:50.565427767,492.0
2024-10-21 12:12:50.565500981,-492.0
2024-10-21 12:12:50.565554902,492.0
2024-10-21 12:12:50.573844808,-292.0
2024-10-21 12:12:50.619549454,26.0
2024-10-21 12:12:50.619562205,-256.0
2024-10-21 12:12:50.622623771,0.0
2024-10-21 12:12:50.641554545,200.0
2024-10-21 12:12:50.682363924,-92.0
2024-10-21 12:12:50.682376586,92.0
2024-10-21 12:12:50.736513051,334.0
2024-10-21 12:12:50.837707032,-108.0
2024-10-21 12:12:50.886487788,334.0
2024-10-21 12:12:50.986777714,-108.0
2024-10-21 12:12:51.039337327,334.0
2024-10-21 12:12:51.147897247,-108.0
2024-10-21 12:12:51.221379329,334.0
2024-10-21 12:12:51.329937404,-108.0
2024-10-21 12:12:51.374411634,334.0
2024-10-21 12:12:51.475039269,-108.0
2024-10-21 12:12:51.507076220,334.0
2024-10-21 12:12:51.709226597,-108.0
2024-10-21 12:12:52.481246232,334.0
2024-10-21 12:12:52.582845276,-108.0
2024-10-21 12:12:53.922861024,-92.0
2024-10-21 12:12:53.922963386,92.0
2024-10-21 12:12:59.628865467,200.0
2024-10-21 12:12:59.643737494,0.0
2024-10-21 12:12:59.691625988,-92.0
2024-10-21 12:12:59.691649558,0.0
2024-10-21 12:12:59.691721965,92.0
2024-10-21 12:13:11.883729412,-92.0
2024-10-21 12:13:11.920609443,92.0
2024-10-21 12:13:11.948637105,0.0
2024-10-21 12:13:21.542992246,-92.0
2024-10-21 12:13:21.543002194,0.0
2024-10-21 12:13:21.543013145,92.0
2024-10-21 12:13:21.617135979,-92.0
2024-10-21 12:13:21.617220419,92.0
2024-10-21 12:13:22.557831797,0.0
2024-10-21 12:13:25.371930587,200.0
2024-10-21 12:13:25.495542627,-92.0
2024-10-21 12:13:25.495588580,92.0
2024-10-21 12:13:29.150340169,0.0
2024-10-21 12:13:29.268636112,-92.0
2024-10-21 12:13:32.213682828,0.0
2024-10-21 12:13:32.213695191,92.0
2024-10-21 12:13:32.278804796,200.0
2024-10-21 12:13:32.362327800,-92.0
2024-10-21 12:13:32.401872088,0.0
2024-10-21 12:13:32.412631196,92.0
2024-10-21 12:13:34.144724456,100.0
2024-10-21 12:13:34.145172866,508.0
2024-10-21 12:13:34.215278319,0.0
2024-10-21 12:13:34.277424242,92.0
2024-10-21 12:13:35.061077358,200.0
2024-10-21 12:13:35.075174042,1508.0
2024-10-21 12:13:35.075183720,-108.0
2024-10-21 12:13:35.077473825,-92.0
2024-10-21 12:13:35.077485044,92.0
2024-10-21 12:13:35.086566953,1508.0
2024-10-21 12:13:35.086579076,92.0
2024-10-21 12:13:35.146372690,1508.0
2024-10-21 12:13:35.146384339,2292.0
2024-10-21 12:13:35.167869345,-2292.0
2024-10-21 12:13:35.175791647,2092.0
2024-10-21 12:13:35.333929432,0.0
2024-10-21 12:13:35.352296693,200.0
2024-10-21 12:13:35.424351548,200.0
2024-10-21 12:13:38.131971887,200.0
2024-10-21 12:13:42.509087486,0.0
2024-10-21 12:13:42.509120725,0.0
2024-10-21 12:13:45.327353906,0.0
2024-10-21 12:13:45.348280342,-92.0
2024-10-21 12:13:45.348322946,92.0
2024-10-21 12:13:45.811467280,-115.0
2024-10-21 12:13:45.811476289,0.0
2024-10-21 12:13:45.811491355,-162.0
2024-10-21 12:13:45.811500957,100.0
2024-10-21 12:13:45.811510984,-174.0
2024-10-21 12:13:45.811530148,0.0
2024-10-21 12:13:45.811542984,48.0
2024-10-21 12:13:45.811544514,24.0
2024-10-21 12:13:45.811549682,0.0
2024-10-21 12:13:45.811550754,28.0
2024-10-21 12:13:45.811554820,100.0
2024-10-21 12:13:45.811565809,100.0
2024-10-21 12:13:45.811576962,100.0
2024-10-21 12:13:45.811587865,100.0
2024-10-21 12:13:45.811599315,0.0
2024-10-21 12:13:45.811625820,-952.0
2024-10-21 12:13:45.811639570,0.0
2024-10-21 12:13:45.811642361,100.0
2024-10-21 12:13:45.811656818,100.0
2024-10-21 12:13:45.811672313,100.0
2024-10-21 12:13:45.811687403,100.0
2024-10-21 12:13:45.811702067,0.0
2024-10-21 12:13:45.812035805,52.0
2024-10-21 12:13:45.812481448,-52.0
2024-10-21 12:13:45.813822327,0.0
2024-10-21 12:13:45.885550872,400.0
2024-10-21 12:13:45.885603142,-696.0
2024-10-21 12:13:45.911619430,720.0
2024-10-21 12:13:45.911645974,0.0
2024-10-21 12:13:45.935267342,-744.0
2024-10-21 12:13:45.969596688,200.0
2024-10-21 12:13:45.972210032,344.0
2024-10-21 12:13:45.973580511,-744.0
2024-10-21 12:13:46.001375930,0.0
2024-10-21 12:13:46.030378750,744.0
2024-10-21 12:13:46.030391116,456.0
2024-10-21 12:13:46.063235483,1000.0
2024-10-21 12:13:46.072722298,400.0
2024-10-21 12:13:46.072745549,-600.0
2024-10-21 12:13:46.073052339,800.0
